citation,auteur,
"La lecture agrandit l'âme, et un ami éclairé la console.",Voltaire,
"La lecture apporte à l'homme plénitude, le discours assurance et l'écriture exactitude.",Francis Bacon (philosophe),
La lecture de tous les bons livres est comme une conversation avec les meilleurs esprits des siècles passés.,René Descartes,
La lecture de tous les bons livres est comme une conversation avec les plus honnêtes gens des siècles passés.,René Descartes,
La liaison fortuite des atomes est l'origine de tout ce qui est.,Démocrite D'Abdère,
La libéralité n'est souvent qu'une sorte de timidité.,Friedrich Nietzsche,
La liberté consiste moins à faire sa volonté qu'à ne pas être soumis à celle d'autrui.,Jean-Jacques Rousseau,
La liberté d'écrire et de parler impunément marque ou l'extrême bonté du prince ou l'esclavage du peuple : on ne permet de dire qu'à celui qui ne peut rien.,Denis Diderot,
La liberté de ne pas être libre est peut-être aussi une forme de liberté.,Elie Wiesel,
La liberté de pensée est absolue ou elle n'est rien.,Luc Ferry,
La liberté de penser est absolue ou elle n'est rien.,Luc Ferry,
La liberté elle-même est apparue intolérable aux nations qui n'ont pas été habituées à en jouir.,Montesquieu,
La liberté est cette faculté qui élargit l'utilité de toutes les autres facultés.,Emmanuel Kant,
"La liberté est l'expression française de l'unité de l'être humain, de la conscience générique et du rapport social et humain de l'homme avec l'homme.",Karl Marx,
La liberté est le but de la vie. Les restrictions n'ont de raison d'être que pour atteindre un état de parfaite libération.,Swami Ramdas,
La liberté est le droit de faire ce que la loi permet.,Montesquieu,
La liberté est le droit de faire ce que les lois permettent.,Montesquieu,
La liberté est le privilège des grands coeurs.,Saint Augustin D'Hippone,
La liberté est une matière dont les phénomènes singuliers sont les individus.,Novalis,
"La liberté n'existe pas sans morale, ni la morale sans foi.",Alexis De Tocqueville,
La liberté naturelle consiste dans le droit de faire tout ce qui ne nuit pas au droit d'autrui.,Nicolas De Condorcet,
La liberté ne peut consister qu'à pouvoir faire ce que l'on doit vouloir et à n'être point contraint de faire ce que l'on ne doit pas vouloir.,Montesquieu,
La liberté ne peut être que toute la liberté ; un morceau de liberté n'est pas la liberté.,Max Stirner,
"La liberté, c'est ce que nous arrivons à faire avec ce qu'on nous a fait.",Jean-Paul Sartre,
"La liberté, c'est l'indépendance de la pensée.",épictète,
"La liberté, ce bien qui fait jouir des autres biens.",Montesquieu,
"La Liberté, ce n'est pas de pouvoir ce que l'on veut, mais de vouloir ce que l'on peut.",Jean-Paul Sartre,
La liberté... n'est là que lorsqu'il n'y a pas d'abus de pouvoir.,Montesquieu,
"La littérature contemporaine se rétrécit : elle recule devant la grande métaphore de l'avenir, cette alliance incroyable entre la poésie et les mathématiques.",George Steiner,
La littérature est prostitution.,Roger-Pol Droit,
La littérature ne peut vivre que si elle se fixe des objectifs démesurés.,Italo Calvino,
"La logique n'est pas une théorie, mais une image réfléchie du monde.",Ludwig Wittgenstein,
"La logique précède toute expérience. Elle précède le Comment, non le Quoi.",Ludwig Wittgenstein,
La logique remplit le monde : les limites du monde sont aussi ses propres limites.,Ludwig Wittgenstein,
La loi de l'amour se montre plus efficace que ne l'a jamais été la loi de la destruction.,Gandhi,
"La loi devrait être comme la mort, elle n'épargne personne.",Montesquieu,
La loi naturelle est l'instinct qui nous fait sentir la justice.,Voltaire,
La lucidité : avoir des sensations à la troisième personne.,Emil Cioran,
"La lucidité complète, c'est le néant.",Emil Cioran,
La luxure est un amour qui consiste à ne vouloir aucun bien à la personne aimée.,Lanza Del Vasto,
"La machine a gagné l'homme, l'homme s'est fait machine, fonctionne et ne vit plus.",Gandhi,
La main est l'instrument des instruments.,Aristote,
La main est la partie visible du cerveau.,Emmanuel Kant,
La maladie est une conviction...,Italo Calvino,
La malhonnêteté d'un penseur se reconnaît à la somme d'idées précises qu'il avance.,Emil Cioran,
La manière dont on imagine est souvent plus instructive que ce qu'on imagine.,Gaston Bachelard,
"La marque distinctive du savant, c'est la capacité d'enseigner.",Aristote,
"La maturité de l'homme, c'est d'avoir retrouvé le sérieux qu'on avait au jeu quand on était enfant.",Friedrich Nietzsche,
"La maturité, c'est avoir le courage d'utiliser sa propre intelligence !",Emmanuel Kant,
"La mauvaise chose de la guerre, c'est qu'elle fait plus de méchants qu'elle n'en peut emporter.",Emmanuel Kant,
La méchanceté a de bien mauvaises racines.,Edgar Morin,
La méchanceté boit elle-même la plus grande partie de son venin.,Sénèque,
La médecine fait mourir plus longtemps.,Plutarque,
La médiocrité est un garde-fou.,Montesquieu,
La médiocrité obtient plus en s'appliquant que la supériorité qui ne s'applique pas.,Baltasar Gracian,
La médisance est fille de l'amour-propre et de l'oisiveté.,Voltaire,
La médisance irrite les hommes et ne les corrige pas.,Machiavel,
La méditation de la mort est hypocrite puisque c'est une manière morose de vivre.,Maurice Merleau-Ponty,
La méditation est l'art majeur de l'être humain.,Jiddu Krishnamurti,
La meilleure façon de combattre le mal est un progrès résolu dans le bien.,Lao Tseu,
La meilleure façon de se défendre est de ne pas imiter l'offenseur.,Marc Aurèle,
"La meilleure façon de se venger d'un ennemi, c'est de ne pas lui ressembler.",Marc Aurèle,
"La meilleure manière de nous éloigner des autres est de les inviter à jouir de nos défaites ; après, nous sommes sûrs de les haïr pour le reste de nos jours.",Emil Cioran,
"La meilleure occasion pour éprouver la sincérité d'un ami, c'est le moment où vous lui annoncerez un malheur qui vient de vous frapper.",Arthur Schopenhauer,
La mélancolie caractérise ceux qui ont un superbe sens du sublime.,Emmanuel Kant,
La mélancolie est l'état de rêve de l'égoïsme.,Emil Cioran,
La mélancolie est le partage de tous les hommes de génie.,Cicéron,
La mémoire des bienfaits ne doit pas vieillir.,Sénèque,
La mémoire diminue à moins qu'on ne l'exerce.,Cicéron,
"La mémoire est à la base de la personnalité individuelle, comme la tradition est à la base de la personnalité collective.",Miguel De Unamuno,
La mémoire est l'avenir du passé.,Paul Valéry,
La menace ne sert d'armes qu'aux menacés.,Léonard De Vinci,
La menace principale qui pèse sur nos démocraties réside dans leur incapacité à justifier de façon forte leur propre politique.,Luc Ferry,
La mère aimante apprend à son enfant à marcher seul.,Soren Kierkegaard,
La mère de la débauche n'est pas la joie mais l'absence de joie.,Friedrich Nietzsche,
"La mesure d'aimer Dieu, c'est Dieu même ; la mesure de cet amour, c'est de l'aimer sans mesure.",Saint Augustin D'Hippone,
"La mesure de l'amour, c'est d'aimer sans mesure.",Saint Augustin D'Hippone,
La métaphysique est de fond en comble platonique.,Martin Heidegger,
La métaphysique est le roman de l'esprit.,Voltaire,
"La métaphysique, la morale, la religion, la science, sont considérées comme des formes diverses de mensonge : il faut leur aide pour croire à la vie.",Friedrich Nietzsche,
"La méthode veut appréhender la complexité, non la complétude, car nous sommes condamnés à l'incomplétude.",Edgar Morin,
La misère du monde est tout aussi visible dans la ligne et le visage d'un mannequin que dans le corps squelettique d'un Africain. La même cruauté se lit partout si on sait la voir.,Jean Baudrillard,
"La misère ne consiste pas dans la privation des choses, mais dans le besoin qui s'en fait sentir.",Jean-Jacques Rousseau,
"La misère religieuse est tout à la fois l'expression de la misère réelle et la protestation contre la misère réelle. La religion est le soupir de la créature accablée, l'âme d'un monde sans coeur, de même qu'elle est l'esprit d'un état de choses où il n'est point d'esprit. Elle est l'opium du peuple.",Karl Marx,
La mission des femmes est d'être dans la société actuelle témoin des valeurs essentielles qui ne peuvent se percevoir qu'avec les yeux du coeur.,Jean-Paul II,
"La mission suprême de l'art consiste à libérer nos regards des terreurs obsédantes de la nuit, à nous guérir des douleurs convulsives que nous causent nos actes volontaires.",Friedrich Nietzsche,
"La mode domine les provinciales, mais les parisiennes dominent la mode.",Jean-Jacques Rousseau,
"La mode étant l'imitation de qui veut se distinguer par celui qui ne veut pas être distingué, il en résulte qu'elle change automatiquement.",Paul Valéry,
La mode même et les pays règlent ce que l'on appelle beauté.,Blaise Pascal,
La modestie est la vertu des tièdes.,Jean-Paul Sartre,
La moindre chose qui se forme au monde est toujours le produit d'une formidable coïncidence.,Pierre Teilhard De Chardin,
"La moitié de la Suisse est l'enfer, et l'autre moitié le paradis.",Voltaire,
La monarchie dégénère ordinairement dans le despotisme d'un seul ; l'aristocratie dans le despotisme de plusieurs ; la démocratie dans le despotisme du peuple.,Montesquieu,
La mondialisation est de l'interdépendance sans solidarité.,Edgar Morin,
"La morale a toujours été une manière de dire ce qui doit être et ce qui ne doit pas être, et de se moquer de ce qui est.",Clément Rosset,
La morale a toujours le dernier mot.,Vladimir Jankélévitch,
La morale de l'Evangile est essentiellement celle de l'âme ouverte.,Henri Bergson,
"La morale n'est donc pas à proprement parler la doctrine qui nous enseigne comment nous devons nous rendre heureux, mais comment nous devons nous rendre dignes du bonheur.",Emmanuel Kant,
"La morale n'est pas proprement la doctrine de la façon dont nous pouvons nous rendre heureux, mais comment nous pouvons nous rendre dignes du bonheur.",Emmanuel Kant,
La morale n'est pas une branche de la philosophie mais la philosophie première.,Emmanuel Lévinas,
La morale n'est qu'une interprétation - ou plus exactement une fausse interprétation - de certains phénomènes.,Friedrich Nietzsche,
"La morale, ce n'est pas seulement être bon, mais aussi être bon à quelque chose.",Henry David Thoreau,
"La moralité, c'est l'instinct du troupeau chez l'individu.",Friedrich Nietzsche,
"La mort d'un homme de talent m'attriste toujours, puisque le monde en a plus besoin que le ciel.",Georg Christoph Lichtenberg,
La mort de l'eau est plus songeuse que la mort de la terre : la peine de l'eau est infinie.,Gaston Bachelard,
La mort doit être délicieuse.,Jean D'Ormesson,
La mort elle aussi brille par son absence.,Jean Baudrillard,
La mort enlève tout sérieux à la vie.,Paul Valéry,
La mort est bien lourde pour celui qui meurt trop connu des autres mais inconnu de lui-même.,Sénèque,
"La mort est la maladie des bien portants et des malades. Quand on n'est pas malade, on est encore quelqu'un qui doit mourir.",Vladimir Jankélévitch,
"La mort est quelquefois un châtiment ; souvent c'est un don ; pour plus d'un, c'est une grâce.",Sénèque,
La mort est un acte du coeur.,Paul Valéry,
"La mort est un état de perfection, le seul à la portée d'un mortel.",Emil Cioran,
La mort est une surprise que fait l'inconcevable au concevable.,Paul Valéry,
La mort est une valeur invariable alors que la douleur est une variable susceptible de croître indéfiniment.,Georg Christoph Lichtenberg,
La mort n'est pas un événement de la vie. La mort ne peut être vécue.,Ludwig Wittgenstein,
"La mort n'est pas une chose horrible, une chose à éviter, à différer, mais plutôt une compagne de chaque jour. De cette perception naît alors un sens extraordinaire de l'immensité.",Jiddu Krishnamurti,
La mort n'est peut-être qu'un changement de place.,Marc Aurèle,
La mort n'est que la dernière nuance de la vie.,Georges-Louis Leclerc De Buffon,
La mort nous parle d'une voix profonde pour ne rien dire.,Paul Valéry,
"La mort révèle l'amour, c'est l'inconsolable qui pleure l'irremplacable.",Vladimir Jankélévitch,
"La mort vous croyez que c'est agréable ? C'est une malédiction, mais ce qu'il y aurait de pire, ça serait de ne pas mourir.",Jean D'Ormesson,
"La mort, c'est la vie... Et vous savez pourquoi nous mourons ? C'est parce que nous vivons. Et nous avons de la chance de mourir.",Jean D'Ormesson,
